,,Assigned to,Date <2018,Start date
1,1INCH,Aquiba,0,2020-12
2,AAVE,Aquiba,0,2020-09
3,ADA,Aquiba,1,2018
4,ALPHA,Aquiba,0,2020-09
5,ANT,Aquiba,,
6,BAL,Aquiba,,
7,BAT,Aquiba,,
8,BCH,Aquiba,,
9,BNB,Aquiba,,
10,BNB_ETH,Aquiba,,
11,BSV,Aquiba,,
12,BTC,Aquiba,1,2018
13,BTG,Aquiba,,
14,BUSD,Aquiba,,
15,COMP,Aquiba,,
16,CRO,Aquiba,,
17,CRV,Aquiba,,
18,CVC,Aquiba,,
19,DAI,Aquiba,,
20,DASH,Aquiba,,
21,DCR,Aquiba,,
22,DGB,Aquiba,,
23,DGX,Aquiba,,
24,DOGE,Aquiba,1,2018
25,DOT,Tim,,
26,DRGN,Tim,,
27,ELF,Tim,,
28,ENG,Tim,,
29,EOS_ETH,Tim,,
30,ETC,Tim,,
31,ETH,Tim,1,2018
32,ETHOS,Tim,,
33,FTT,Tim,,
34,FUN,Tim,,
35,FXC,Tim,,
36,GAS,Tim,,
37,GNO,Tim,,
38,GNT,Tim,,
39,GUSD,Tim,,
40,HBTC,Tim,,
41,HEDG,Tim,,
42,HT,Tim,,
43,HUSD,Tim,,
44,KNC,Tim,,
45,LEND,Tim,,
46,LEO_ETH,Tim,,
47,LINK,Tim,,
48,LOOM,Tim,,
49,LSK,Dariush,,
50,LTC,Dariush,,
51,MAID,Dariush,,
52,MANA,Dariush,,
53,MCO,Dariush,,
54,MKR,Dariush,,
55,NEO,Dariush,,
56,NXM,Dariush,,
57,OMG,Dariush,,
58,PAX,Dariush,,
59,PAXG,Dariush,,
60,PAY,Dariush,,
61,POLY,Dariush,,
62,POWR,Dariush,,
63,PPT,Dariush,,
64,QASH,Dariush,,
65,REN,Dariush,,
66,RENBTC,Dariush,,
67,REP,Dariush,,
68,SAI,Dariush,,
69,SNT,Dariush,,
70,SNX,Dariush,,
71,SRM,Dariush,,
72,SUSHI,Dariush,,
73,SWRV,David,,
74,TRX_ETH,David,,
75,TUSD,David,,
76,UMA,David,,
77,UNI,David,,
78,USDC,David,,
79,USDK,David,,
80,USDT,David,,
81,USDT_ETH,David,,
82,USDT_OMNI,David,,
83,USDT_TRX,David,,
84,VTC,David,,
85,WBTC,David,,
86,WETH,David,,
87,WNXM,David,,
88,WTC,David,,
89,XAUT,David,,
90,XLM,David,,
91,XRP,David,,
92,XTZ,David,,
93,XVG,David,,
94,YFI,David,,
95,ZEC,David,,
96,ZRX,David,,
